IdCaso,Id,COD_DANE_MUN,DIAH,MESH,ANNOH,DEPTO_CASO,MUNINICIO_CASO,Sexo,Etnia,OcupacionVictima,CalidadVictima,TipoPoblacionVulnerable,MilitantePolitico,Grupo,DESCRIPCION_GRUPO,Estado
201035,426895,86569,4,7,2012,Putumayo,Puerto caicedo,S,,Empleado,Civil,,,,,Publicado
201035,426896,86569,4,7,2012,Putumayo,Puerto caicedo,S,,Empleado,Civil,,,,,Publicado
397044,429543,41872,10,12,2000,Huila,Villavieja,M,,Sin información,Civil,,,,,Publicado
419344,456814,11001,7,12,1985,"Bogotá, d.c.","Bogotá, d.c.",H,,Sin información,Civil,Militante político,Partido comunista,,,Publicado
419474,456815,66318,27,5,1988,Risaralda,Guática,S,,Sin información,Civil,,,,,Publicado
419560,456816,5045,27,10,1988,Antioquia,Apartadó,S,,Sin información,Civil,,,,,Publicado
419626,456817,76001,25,5,1989,Valle del cauca,Cali,S,,Sin información,Civil,,,,,Publicado
419626,456818,76001,25,5,1989,Valle del cauca,Cali,S,,Sin información,Civil,,,,,Publicado
420013,456819,13001,1,4,1993,Bolívar,Cartagena de indias,H,,Seguridad privada,Civil,,,,,Publicado
420145,456820,41660,8,8,1994,Huila,Saladoblanco,H,,Fuerza pública,Combatiente,,,Agente del estado,Policía nacional,Publicado
420297,456821,23807,21,5,1996,Córdoba,Tierralta,S,,Sin información,Civil,,,,,Publicado
420297,456822,23807,21,5,1996,Córdoba,Tierralta,S,,Sin información,Civil,,,,,Publicado
420360,456823,5042,18,10,1996,Antioquia,Santa fé de antioquia,H,,Sin información,Civil,,,,,Publicado
420433,456824,5400,1,7,1997,Antioquia,La unión,S,,Sin información,Civil,,,,,Publicado
420433,456825,5400,1,7,1997,Antioquia,La unión,S,,Sin información,Civil,,,,,Publicado
420589,456827,5628,26,4,1998,Antioquia,Sabanalarga,M,,Sin información,Civil,,,,,Publicado
420589,456828,5628,26,4,1998,Antioquia,Sabanalarga,H,,Sin información,Civil,,,,,Publicado
420922,456832,13244,10,4,2000,Bolívar,El carmen de bolívar,H,,Seguridad privada,Civil,,,,,Publicado
421138,456834,41872,10,12,2000,Huila,Villavieja,M,,Sin información,Civil,,,,,Publicado
421306,456835,54820,8,7,2001,Norte de santander,Toledo,M,,No aplica,Civil,,,,,Publicado
421394,456836,44001,20,10,2001,La guajira,Riohacha,M,Indígena,Sin información,Civil,,,,,Publicado
421394,456837,44001,20,10,2001,La guajira,Riohacha,M,Indígena,Sin información,Civil,,,,,Publicado
421394,456838,44001,20,10,2001,La guajira,Riohacha,M,Indígena,Sin información,Civil,,,,,Publicado
421394,456839,44001,20,10,2001,La guajira,Riohacha,H,Indígena,Sin información,Civil,,,,,Publicado
421394,456840,44001,20,10,2001,La guajira,Riohacha,H,Indígena,Sin información,Civil,,,,,Publicado
421394,456841,44001,20,10,2001,La guajira,Riohacha,M,Indígena,Sin información,Civil,,,,,Publicado
421559,456842,5660,26,5,2002,Antioquia,San luis,M,,Sin información,Civil,,,,,Publicado
421619,456843,27205,21,10,2002,Chocó,Condoto,H,,Sin información,Civil,,,,,Publicado
421667,456845,5649,15,1,2003,Antioquia,San carlos,S,,Sin información,Civil,,,,,Publicado
421667,456846,5649,15,1,2003,Antioquia,San carlos,S,,Sin información,Civil,,,,,Publicado
421667,456847,5649,15,1,2003,Antioquia,San carlos,S,,Sin información,Civil,,,,,Publicado
421667,456848,5649,15,1,2003,Antioquia,San carlos,S,,Sin información,Civil,,,,,Publicado
421805,456853,41026,6,11,2003,Huila,Altamira,H,,Seguridad privada,Civil,,,,,Publicado
422166,456854,5658,21,11,2006,Antioquia,San josé de la montaña,H,,Sin información,Civil,,,,,Publicado
422476,456856,18247,12,3,2012,Caquetá,El doncello,H,,Conductor/motorista,Civil,,,,,Publicado
422476,456857,18247,12,3,2012,Caquetá,El doncello,H,,Conductor/motorista,Civil,,,,,Publicado
193042,505009,17662,18,5,1999,Caldas,Samaná,M,,Sin información,Civil,,,,,Publicado
191365,505020,54001,20,9,1996,Norte de santander,Cúcuta,H,,Economía informal,Civil,,,,,Publicado
195947,536017,13001,18,4,2002,Bolívar,Cartagena de indias,S,,Sin información,Civil,,,,,Publicado
195947,536018,13001,18,4,2002,Bolívar,Cartagena de indias,S,,Sin información,Civil,,,,,Publicado
192800,536099,5197,30,11,1998,Antioquia,Cocorná,S,,Sin información,Civil,,,,,Publicado
192800,536100,5197,30,11,1998,Antioquia,Cocorná,S,,Sin información,Civil,,,,,Publicado
192800,536101,5197,30,11,1998,Antioquia,Cocorná,S,,Sin información,Civil,,,,,Publicado
192800,536102,5197,30,11,1998,Antioquia,Cocorná,S,,Sin información,Civil,,,,,Publicado
192800,536103,5197,30,11,1998,Antioquia,Cocorná,S,,Sin información,Civil,,,,,Publicado
194254,536128,13244,22,8,2000,Bolívar,El carmen de bolívar,M,,Sin información,Civil,,,,,Publicado
193987,567516,70204,25,6,2000,Sucre,Coloso,M,,Sin información,Civil,,,,,Publicado
521528,568528,54810,1,12,1992,Norte de santander,Tibú,M,,Sin información,Civil,,,,,Publicado
521622,568678,5031,8,8,1991,Antioquia,Amalfi,H,,Sin información,Civil,,,,,Publicado
521622,568679,5031,8,8,1991,Antioquia,Amalfi,M,,Sin información,Civil,,,,,Publicado
